"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ、エレベータ、エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬・介助犬、聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"131121","131121000044","世田谷区","喜多見まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区喜多見5-11-10","東京都","世田谷区","喜多見5丁目","11-10","","35.628916","139.601209","","","","","","","","1570067","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000045","世田谷区","砧まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区砧5-8-18","東京都","世田谷区","砧5丁目","8-18","","35.637791","139.610003","","","","","","","","1570073","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000046","世田谷区","上北沢まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区上北沢4-32-9","東京都","世田谷区","上北沢4丁目","32-9","","35.669968","139.617974","","","","","","","","1560057","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000047","世田谷区","上祖師谷まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区上祖師谷2-7-6","東京都","世田谷区","上祖師谷2丁目","7-6","","35.6571","139.599674","","","","","","","","1570065","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000048","世田谷区","烏山まちづくりセンター（複合施設）","","","","","","","131121","","東京都世田谷区南烏山6-2-19","東京都","世田谷区","南烏山6丁目","2-19","","35.668837","139.600537","","","","","","","","1570062","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000049","世田谷区","世田谷土木・公園管理事務所（複合施設）","","","","","","","131121","","東京都世田谷区若林1-34-2","東京都","世田谷区","若林1丁目","34-2","","35.646106","139.66376","","","","","","","","1540023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000050","世田谷区","北沢土木・公園管理事務所","","","","","","","131121","","東京都世田谷区代田5-19-1","東京都","世田谷区","代田5丁目","19-1","","35.65999","139.664194","","","","","","","","1550033","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000051","世田谷区","玉川土木・公園管理事務所","","","","","","","131121","","東京都世田谷区中町4-35-11","東京都","世田谷区","中町4丁目","35-11","","35.61741","139.640744","","","","","","","","1580091","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000052","世田谷区","砧土木・公園管理事務所","","","","","","","131121","","東京都世田谷区大蔵4-6-2","東京都","世田谷区","大蔵4丁目","6-2","","35.631573","139.613042","","","","","","","","1570074","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000053","世田谷区","烏山土木・公園管理事務所","","","","","","","131121","","東京都世田谷区粕谷4-9-27","東京都","世田谷区","粕谷4丁目","9-27","","35.664256","139.605581","","","","","","","","1570063","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000054","世田谷区","世田谷清掃事務所","","","","","","","131121","","東京都世田谷区上馬5-21-13","東京都","世田谷区","上馬5丁目","21-13","","35.641972","139.656376","","","","","","","","1540011","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000055","世田谷区","世田谷清掃事務所弦巻分室","","","","","","","131121","","東京都世田谷区弦巻1-51-12","東京都","世田谷区","弦巻1丁目","51-12","","35.63769","139.647726","","","","","","","","1540016","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000056","世田谷区","玉川清掃事務所","","","","","","","131121","","東京都世田谷区野毛1-3-7","東京都","世田谷区","野毛1丁目","3-7","","35.599624","139.644504","","","","","","","","1580092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000057","世田谷区","砧清掃事務所","","","","","","","131121","","東京都世田谷区八幡山2-7-1","東京都","世田谷区","八幡山2丁目","7-1","","35.659834","139.61637","","","","","","","","1560056","","","","","","","","","","","","","","","","","","","","","","","","","","","","区分所有"
"131121","131121000058","世田谷区","エムケイアースビル（世田谷保健所試験検査室）","","","","","","","131121","","東京都世田谷区世田谷1-11-18エムケイアースビル","東京都","世田谷区","世田谷1丁目","11-18 エムケイアースビル","","35.641696","139.653326","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000059","世田谷区","区史編さん担当事務室（複合施設）","","","","","","","131121","","東京都世田谷区弦巻3-16-8","東京都","世田谷区","弦巻3丁目","16-8","","35.63769","139.644325","","","","","","","","1540016","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000060","世田谷区","グリーンプラザ","","","","","","","131121","","東京都世田谷区世田谷4-18-7","東京都","世田谷区","世田谷4丁目","18-7","","35.645513","139.651821","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000061","世田谷区","事務センター","","","","","","","131121","","東京都世田谷区弦巻2-23-1","東京都","世田谷区","弦巻2丁目","23-1","","35.636393","139.653145","","","","","","","","1540016","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000062","世田谷区","消費生活センター（複合施設）","","","","","","","131121","","東京都世田谷区太子堂2-16-7三軒茶屋分庁舎3F","東京都","世田谷区","太子堂2丁目","16-7 三軒茶屋分庁舎3F","","35.64447","139.67114","階数","3","","","","","","1540004","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
