全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
,,千代田区,区営九段住宅,,,,,,,,,東京都千代田区九段南一丁目5-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営一番町住宅,,,,,,,,,東京都千代田区一番町10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営内神田住宅,,,,,,,,,東京都千代田区内神田一丁目1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,神保町仮住宅,,,,,,,,,東京都千代田区西神田二丁目3-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,西神田区民住宅区営西神田住宅(西神田コスモス館）,,,,,,,,,東京都千代田区西神田二丁目6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営淡路町住宅淡路町高齢者住宅,,,,,,,,,東京都千代田区神田淡路町二丁目9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,富士見あんず館,,,,,,,,,東京都千代田区富士見一丁目11-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営四番町アパート,,,,,,,,,東京都千代田区四番町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営四番町アパート自転車置場,,,,,,,,,東京都千代田区四番町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,九段さくら館,,,,,,,,,東京都千代田区九段南二丁目9-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,番町さくら館（区民住宅）,,,,,,,,,東京都千代田区一番町12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営神保町住宅,,,,,,,,,東京都千代田区神田神保町二丁目10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営水道橋住宅,,,,,,,,,東京都千代田区神田三崎町二丁目22-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営神保町第二住宅神保町高齢者住宅,,,,,,,,,東京都千代田区神田神保町二丁目40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営四番町住宅,,,,,,,,,東京都千代田区四番町11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,いきいきプラザ一番町高齢者住宅,,,,,,,,,東京都千代田区一番町12-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営東松下町住宅,,,,,,,,,東京都千代田区神田東松下町22-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,区営東松下町住宅付属棟,,,,,,,,,東京都千代田区神田東松下町22-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,麹町仮住宅,,,,,,,,,東京都千代田区平河町二丁目7-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,資材倉庫(三崎町）,,,,,,,,,東京都千代田区神田三崎町三丁目9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,真田濠資材置場,,,,,,,,,東京都千代田区紀尾井町5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,土木事務所,,,,,,,,,東京都千代田区一ツ橋二丁目1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,土木事務所(倉庫）,,,,,,,,,東京都千代田区一ツ橋二丁目1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,詰所（富士見児童公園内）,,,,,,,,,東京都千代田区富士見一丁目23-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,詰所（清水谷公園内）,,,,,,,,,東京都千代田区紀尾井町2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,土木事務所（神田橋分室）,,,,,,,,,東京都千代田区内神田一丁目1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,猿楽町自転車保管場所管理事務所,,,,,,,,,東京都千代田区神田猿楽町一丁目6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,公園資材置場（神田児童公園内）,,,,,,,,,東京都千代田区神田司町二丁目2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,猿楽町資材置場,,,,,,,,,東京都千代田区神田猿楽町二丁目3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,資材保管場所管理事務所,,,,,,,,,東京都千代田区飯田橋三丁目22-16先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,自転車駐輪場（ちよだパークサイドプラザ脇）,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,公園便所（神田児童公園内）,,,,,,,,,東京都千代田区神田司町二丁目2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,公園便所（東郷元帥記念公園下段部）,,,,,,,,,東京都千代田区三番町18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,公園資材置場（東郷元帥記念公園内）,,,,,,,,,東京都千代田区三番町18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,公園便所（宮本公園内）,,,,,,,,,東京都千代田区外神田二丁目16-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
