name,address,url,latitude,longitude,source_file,category
亀戸中央公園,東京都江東区亀戸八・九丁目,http://tokyo-eastpark.com/kameido/,35.699909,139.838447,130001_public_facility.csv,公園
砧公園,東京都世田谷区砧公園・大蔵一丁目,https://www.tokyo-park.or.jp/park/format/index004.html,35.630429,139.620212,130001_public_facility.csv,公園
木場公園,東京都江東区木場四・五丁目・平野四丁目,https://www.tokyo-park.or.jp/park/format/index020.html,35.676767,139.807561,130001_public_facility.csv,公園
小石川後楽園,東京都文京区後楽一丁目,https://www.tokyo-park.or.jp/teien/contents/index030.html,35.704864,139.747649,130001_public_facility.csv,その他
小金井公園,東京都小金井市桜町三丁目、関野町一・二丁目、小平市花小金井南町三丁目、西東京市向台六丁目、武蔵野市桜堤三丁目,https://www.tokyo-park.or.jp/park/format/index050.html,35.71706,139.517882,130001_public_facility.csv,公園
駒沢オリンピック公園,東京都世田谷区駒沢公園、目黒区東が丘二丁目・八雲五丁目,https://www.tokyo-park.or.jp/park/format/index040.html,35.627198,139.661894,130001_public_facility.csv,公園
小宮公園,東京都八王子市大谷町、暁町二丁目,https://tamaparks.com/komiya/,35.673446,139.340673,130001_public_facility.csv,公園
桜ヶ丘公園,東京都多摩市連光寺三、五丁目,https://www.tokyo-park.or.jp/park/format/index065.html,141.349451,42.562611,130001_public_facility.csv,公園
狭山公園,東京都東村山市多摩湖町3-17-19,http://www.sayamaparks.com/sayama/,35.763187,139.44158,130001_public_facility.csv,公園
狭山・境緑道,東京都小平市花小金井南町一・二・三丁目、花小金井六丁目、鈴木町二丁目、天神町一・二丁目、大沼町一・三丁目、東村山市萩山町一・二・三丁目、栄町三丁目、廻田町二丁目、美住町一・二丁目、東大和市清水一・二丁目、西東京市向台三・四・五・六丁目、新町四・五丁目,http://musashinoparks.com/kouen/sayama/,35.852839,139.412183,130001_public_facility.csv,その他
猿江恩賜公園,東京都江東区住吉二丁目、毛利二丁目,http://tokyo-eastpark.com/sarueonshi/,35.69051,139.819226,130001_public_facility.csv,公園
汐入公園,東京都荒川区南千住八丁目,http://www.tokyo-park.or.jp/park/format/index017.html,35.736607,139.809271,130001_public_facility.csv,公園
潮風公園,東京都品川区東八潮1・2番,http://www.tptc.co.jp/park/01_03,35.62398,139.768796,130001_public_facility.csv,公園
篠崎公園,東京都江戸川区上篠崎一・四・八丁目、篠崎町六・七・八丁目、西篠崎一・二丁目、谷河内二丁目、南篠崎町四丁目、鹿骨町,https://www.tokyo-park.or.jp/park/format/index025.html,35.715629,139.899176,130001_public_facility.csv,公園
芝公園,東京都港区芝公園一・二・三・四丁目,https://www.tokyo-park.or.jp/park/format/index001.html,35.654938,139.747984,130001_public_facility.csv,公園
石神井公園,東京都練馬区石神井台一・二丁目、石神井町五丁目,https://www.tokyo-park.or.jp/park/format/index006.html,35.738171,139.595976,130001_public_facility.csv,公園
城北中央公園,東京都板橋区桜川一丁目、小茂根五丁目、練馬区氷川台一丁目、羽沢三丁目,https://www.tokyo-park.or.jp/park/format/index022.html,139.677579,35.757429,130001_public_facility.csv,公園
浅間山公園,東京都府中市浅間町四丁目、若松町五丁目,http://musashinoparks.com/kouen/sengenyama/,35.680157,139.500427,130001_public_facility.csv,公園
